Bond,Maturity,QLDiscountFactor,QLZeroCouponRate,QLZeroCouponRatePct
OAT 2027,2027-05-25,0.9782530855825309,0.02693021897428442,2.693021897428442
OAT 2028,2028-05-25,0.949208969730988,0.028670873327538832,2.8670873327538833
OAT 2029,2029-05-25,0.9200798577103595,0.0295745194155304,2.95745194155304
OAT 2030,2030-05-25,0.8899937192901206,0.030536553294514955,3.0536553294514954
OAT 2031,2031-05-25,0.8581686321155959,0.03175679756863981,3.1756797568639814
OAT 2032,2032-05-25,0.8237000000000001,0.03333547675880495,3.3335476758804954
OAT 2033,2033-05-25,0.7892436443826603,0.034721975310267,3.4721975310267004
OAT 2034,2034-05-25,0.7584047919270209,0.035379030319355534,3.5379030319355533
OAT 2035,2035-05-25,0.7204692512918344,0.03718650639987683,3.7186506399876826
OAT 2036,2036-05-25,0.6898211554040898,0.03782026942239406,3.782026942239406
OAT 2037,2037-05-25,0.6501087992578175,0.03981121441703848,3.9811214417038476
OAT 2038,2038-05-25,0.6227640999684759,0.04007869963543521,4.007869963543521
OAT 2039,2039-05-25,0.5926582210868457,0.04081768953860696,4.0817689538606965
OAT 2040,2040-05-25,0.5633807849097445,0.04152523386183399,4.152523386183399
OAT 2041,2041-05-25,0.5296873106298773,0.042889418577566604,4.288941857756661
OAT 2042,2042-05-25,0.5035023754231818,0.04338314565906087,4.338314565906087
OAT 2043,2043-05-25,0.48165584948069173,0.04344115024295026,4.344115024295026
OAT 2044,2044-05-25,0.46199736164108396,0.04333775297289654,4.333775297289654
OAT 2045,2045-05-25,0.42479969988369,0.045499445715382704,4.54994457153827
