Bond,Maturity,QLDiscountFactor,QLZeroCouponRate,QLZeroCouponRatePct,TimeToMaturity,DiscountFactor,ZeroCouponRate,ZeroCouponRatePct,DiscountFactor_Diff,ZeroCouponRate_Diff,ZeroCouponRatePct_Diff
OAT 2027,2027-05-25,0.9782530855825309,0.02693021897428442,2.693021897428442,0.8164383561643835,0.9782178217821782,0.026974372187632985,2.6974372187632984,-3.526380035268062e-05,4.4153213348566145e-05,0.4415321334856337
OAT 2028,2028-05-25,0.949208969730988,0.028670873327538832,2.8670873327538833,1.8180926716071562,0.9492440360661377,0.028650554225669908,2.8650554225669906,3.50663351497138e-05,-2.03191018689243e-05,-0.2031910186892638
OAT 2029,2029-05-25,0.9200798577103595,0.0295745194155304,2.95745194155304,2.8164383561643835,0.9200623788166751,0.029581264576098793,2.9581264576098794,-1.747889368441946e-05,6.745160568394359e-06,0.0674516056839547
OAT 2032,2032-05-25,0.8237000000000001,0.03333547675880495,3.3335476758804954,5.818092671607157,0.8237000000000001,0.033335476758804966,3.3335476758804967,0.0,1.3877787807814457e-17,1.3322676295501878e-13
OAT 2033,2033-05-25,0.7892436443826603,0.034721975310267,3.4721975310267004,6.816438356164384,0.789242166717845,0.034722249978057625,3.4722249978057627,-1.477664815285884e-06,2.746677906229067e-07,0.002746677906229067
OAT 2034,2034-05-25,0.7584047919270209,0.035379030319355534,3.5379030319355533,7.816438356164384,0.758412414287179,0.035377744507850445,3.5377744507850446,7.622360158054953e-06,-1.2858115050889962e-06,-0.012858115050873309
OAT 2035,2035-05-25,0.7204692512918344,0.03718650639987683,3.7186506399876826,8.816438356164383,0.7204997873790486,0.037181699162604206,3.7181699162604205,3.0536087214261265e-05,-4.8072372726207235e-06,-0.04807237272621556
OAT 2037,2037-05-25,0.6501087992578175,0.03981121441703848,3.9811214417038476,10.816438356164383,0.6499643164800497,0.03983176357463838,3.983176357463838,-0.00014448277776779594,2.054915759990006e-05,0.20549157599902834
OAT 2038,2038-05-25,0.6227640999684759,0.04007869963543521,4.007869963543521,11.816438356164383,0.622774631734909,0.04007726847808968,4.007726847808968,1.0531766433063972e-05,-1.431157345528622e-06,-0.014311573455305648
OAT 2039,2039-05-25,0.5926582210868457,0.04081768953860696,4.0817689538606965,12.816438356164383,0.5926530559497519,0.04081836954356537,4.081836954356537,-5.165137093809946e-06,6.800049584115841e-07,0.006800049584043677
OAT 2040,2040-05-25,0.5633807849097445,0.04152523386183399,4.152523386183399,13.818092671607156,0.5633697387206118,0.041526652810228847,4.152665281022885,-1.1046189132724038e-05,1.4189483948587323e-06,0.014189483948623405
OAT 2043,2043-05-25,0.48165584948069173,0.04344115024295026,4.344115024295026,16.816438356164383,0.48167728162894696,0.04343850427131631,4.343850427131631,2.1432148255229322e-05,-2.6459716339494177e-06,-0.026459716339477524
OAT 2044,2044-05-25,0.46199736164108396,0.04333775297289654,4.333775297289654,17.818092671607154,0.4619855286823775,0.04333919044095106,4.333919044095106,-1.1832958706436969e-05,1.4374680545187202e-06,0.014374680545170548
OAT 2045,2045-05-25,0.42479969988369,0.045499445715382704,4.54994457153827,18.816438356164383,0.42484836458639585,0.04549335781445458,4.549335781445458,4.8664702705869534e-05,-6.087900928125611e-06,-0.06087900928122281
