Bond,Maturity,TimeToMaturity,DiscountFactor,ZeroCouponRate,ZeroCouponRatePct
OAT 2027,2027-05-25,0.8164383561643835,0.9782178217821782,0.026974372187632985,2.6974372187632984
OAT 2028,2028-05-25,1.8180926716071562,0.9492440360661377,0.028650554225669908,2.8650554225669906
OAT 2029,2029-05-25,2.8164383561643835,0.9200623788166751,0.029581264576098793,2.9581264576098794
OAT 2030,2030-05-27,3.821917808219178,0.8899628234959759,0.03050185648433744,3.050185648433744
OAT 2031,2031-05-26,4.819178082191781,0.8581652158596901,0.03173956972445775,3.1739569724457755
OAT 2032,2032-05-25,5.818092671607157,0.8237000000000001,0.033335476758804966,3.3335476758804967
OAT 2033,2033-05-25,6.816438356164384,0.789242166717845,0.034722249978057625,3.4722249978057627
OAT 2034,2034-05-25,7.816438356164384,0.758412414287179,0.035377744507850445,3.5377744507850446
OAT 2035,2035-05-25,8.816438356164383,0.7204997873790486,0.037181699162604206,3.7181699162604205
OAT 2036,2036-05-26,9.820824912044314,0.6897838685875959,0.037815251541078614,3.7815251541078614
OAT 2037,2037-05-25,10.816438356164383,0.6499643164800497,0.03983176357463838,3.983176357463838
OAT 2038,2038-05-25,11.816438356164383,0.622774631734909,0.04007726847808968,4.007726847808968
OAT 2039,2039-05-25,12.816438356164383,0.5926530559497519,0.04081836954356537,4.081836954356537
OAT 2040,2040-05-25,13.818092671607156,0.5633697387206118,0.041526652810228847,4.152665281022885
OAT 2041,2041-05-27,14.821917808219178,0.5296915296512019,0.042873025584363636,4.287302558436363
OAT 2042,2042-05-26,15.81917808219178,0.5034876676843256,0.04337747869941825,4.337747869941825
OAT 2043,2043-05-25,16.816438356164383,0.48167728162894696,0.04343850427131631,4.343850427131631
OAT 2044,2044-05-25,17.818092671607154,0.4619855286823775,0.04333919044095106,4.333919044095106
OAT 2045,2045-05-25,18.816438356164383,0.42484836458639585,0.04549335781445458,4.549335781445458
